唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間,search_count
Attraction_376540000A_000391,Attraction,Zh_tw,東清灣,東清灣是蘭嶼迎接日出的熱門地點，停放在岸上的拼板舟加上千變萬化的日出雲彩，充分呈現出蘭嶼最吸引人的自然與人文樣貌。拂曉時分，一輪紅橙色的太陽緩緩升起，劃破了濃濃的晨霧，兩三艘由黑紅白三色拼合而成的拼板船，慢慢地淡入到前景來，靜悄悄地，似乎有意要讓東清灣在紫霧裡多躺一會兒。這時，朝陽渲染了這天光水色，畫面唯美，朦朧得像莫內《日出．印象》的畫布。這裡，就是東清灣。,(089)731669,,臺東縣,蘭嶼鄉,東側東清村的海灣線上,376540000A,臺東縣政府交通及觀光發展處,2025/3/11 下午 05:27:34,343000
Attraction_376430000A_000963,Attraction,Zh_tw,大溪老茶廠,在和洋融合的風格建築中，用啜飲一杯東方美人茶的時間，和友人一同談天說地，細細領略韶光靜好的悠然，就是最好的回甘滋味。,(03)3825089,,桃園市,大溪區,新峰里1鄰復興路二段732巷80號,376430000A,桃園市政府觀光旅遊局,2025/3/25 上午 11:09:57,343000
Attraction_376440000A_000352,Attraction,Zh_tw,新竹高鐵站,,(02)40663000,,新竹縣,竹北市,高鐵七路6號,376440000A,新竹縣政府交通旅遊處,2025/4/28 上午 07:34:11,342000
Attraction_376430000A_001001,Attraction,Zh_tw,大溪埔頂公園,公園內也可以玩高空溜索﹖這裡沒有罐頭遊具，有的是滾輪溜滑梯、樹屋遊戲區、共融式旋轉盤，為親子共遊時光製造無窮歡樂。,(03)3322101,,桃園市,大溪區,公園路與埔仁路交叉口,376430000A,桃園市政府觀光旅遊局,2024/6/19 下午 04:27:52,342000
Attraction_382000000A_110930,Attraction,Zh_tw,烏來林業生活館,烏來與台車文化的歷史場域，寓教於樂,(02)26616780,,新北市,烏來區,瀑布路1-2號,382000000A,新北市政府觀光旅遊局,2025/3/7 上午 05:48:46,340000
Attraction_387000000A_000798,Attraction,Zh_tw,文化部文化資產園區,距離台中火車站不遠處，座落於復興路三段與民生路交叉口，「文化部文化資產園區」是近年來提供許多大專院校生、藝文團體、產業等文化創意發表與交流的舞台。並且「文化部文化資產園區」更也讓舊台中酒廠從此由製酒工業遺址活化新生，蛻變成文化創意產業的推展基地。,(04)22177777,6999.0,臺中市,南區,復興路三段362號,387000000A,臺中市政府觀光旅遊局,2025/2/18 上午 11:13:13,339000
Attraction_376490000A_000241,Attraction,Zh_tw,斗南順安宮,"菜脯媽，渡海來台百餘年
斗南順安宮主祀媽祖，創建清代初期，同治年間由曾老大率五十三庄居民遷建於今址，鄰近廟口多家攤販販售菜脯、酸菜等醃製物，俗稱菜脯媽，農曆三月二十一日媽祖聖誕舉行祈安繞境。",(05)5972541,,雲林縣,斗南鎮,雲林縣斗南鎮長安路一段126號,376490000A,雲林縣政府,2023/7/14 上午 08:48:37,338000
Attraction_387000000A_001428,Attraction,Zh_tw,甲后自行車道,本工程橫跨后里區、外埔區與大甲區之自行車道，分為甲后線主線、六分路支線及忘憂谷支線，總長35.2公里。沿線自行車道以標線、標塊、指示牌及導覽地圖作為引導，並在甲后線上施設2處休憩節點(在外埔國小及月眉國小旁)，金仔坑健行步道休憩座椅8座，磁瑤堤頂施作約2公里自行車道及2座休憩平臺。甲后線自行車道往東銜接全國知名的自行車道「后豐鐵馬道」與「東豐自行車道綠廊」；往西串聯大甲區「環島１號線」、「大安濱海自行車道」，形成完整的區域路網。,(04)22289111,,臺中市,后里區,大甲區、外埔區,387000000A,臺中市政府觀光旅遊局,2025/5/9 下午 07:32:47,336000
Attraction_379000000A_000268,Attraction,Zh_tw,芝山巖惠濟宮,在惠濟宮的山腳下，可以看到一個像草原的廣場，上面有著羊群的模型，好像先民在這裡放牧一樣。循著階梯向上，經過林間，昏暗的感覺，旁邊的岩壁上長著青苔，具有古意，在途中經過一個石頭拱門，是芝山的歷史遺蹟，在其後會發覺道路開闊許多，過一個彎，豁然開朗，平坦的路面，與先前的感覺截然不同，惠濟宮，就座落其間。漳州人來到士林，也把他們的守護神「開漳聖王」一塊兒帶來了。傳說芝山原本是富豪黃善的土地，約兩百年前，其漳州府平和縣的親戚黃澄清，帶著開漳聖王的香火來到臺灣，懸掛在芝山上，傳說有神蹟出現，大家就合力湊錢，在1752年搭建了惠濟宮。不久，因祭祀觀音佛祖，又名芝山巖寺。1840年士林士紳的潘永清在芝山巖上創建了文昌祠，聘請老師教育子弟。到了1874年，3座寺廟合併在一起，從此就統稱為惠濟宮了。目前來到惠濟宮，多半是祈求考試可以順利，這裡有隻文昌筆。傳說若是摸了「文昌筆」會得到保佑，因此家長都會帶著小孩來摸文昌筆，祈求考試順利。,(02)28315656,,臺北市,士林區,,379000000A,臺北市政府,2024/3/20 下午 04:35:26,335000
Attraction_382000000A_400312,Attraction,Zh_tw,中和恐龍園區,華中橋下侏儸紀，於腳踏車道與恐龍共舞,(02)29603456,,新北市,中和區,華中橋下,382000000A,新北市政府觀光旅遊局,2022/12/5 上午 08:12:51,334000
Attraction_382000000A_109635,Attraction,Zh_tw,板橋火車站旅遊服務中心,本服務中心位於板橋火車站內，人潮眾多、交通便利之處，本中心於99年5月6日改建完成，以全新面貌服務旅客，成立6年的板橋捷運站旅遊服務中心榮獲交通部觀光局98年度全國交通場站旅遊服務中心督導考核評比作業成績名列前3名，服務品質卓著。提供包括中、英語觀光旅遊專人諮詢服務、旅遊景點介紹、交通住宿、規劃行程服務、慶典活動、導覽解說、網路或電話查詢，97年增設媒體導覽機、電子看板及規劃閱讀區，以提供更專業、方便、效率、優質且多元化的服務，讓遊客能立即得到新北市旅遊的詳盡資訊。,(02)29657806,,新北市,板橋區,縣民大道2段7號地下1樓,382000000A,新北市政府觀光旅遊局,2021/4/29 上午 05:57:58,334000
Attraction_A15011300H_010069,Attraction,Zh_tw,外澳服務區,炎炎夏日，想來趟消暑的沙灘戲水行，不妨來到外澳服務區逛逛，這棟看起來像飛行傘，也像一艘大船的鮮黃色建築是由名建築師姚仁喜設計，極富現代感的外觀具有多重意象，歡迎發揮你的想像力，親身體會這棟建築的特別。 黃色外牆襯著藍天大海，正對著龜山島，獨擁一片濕地沙灘，還有蔚藍的海堤步道，每當晨昏陽光落在海面，遊客嬉戲的剪影映入眼簾，與龜山朝日、烏龜戴帽的美景相映成趣。除了有絕美風景外，外澳沙灘也是衝浪客聖地，沙灘旁有店家提供衝浪教學，新手也可享受在浪花奔馳的快感，還有香蕉船等刺激的水上活動；附近山頂上則有飛行傘基地，坐上飛行傘升上天空後可俯視整個外澳的海岸線，美麗又壯觀，這裡豐富的陸海空三域活動吸引許多遊客來冒險挑戰。 服務區內貼心設有免費的沖腳區以及付費的淋浴區，室內9號咖啡館更提供咖啡、餐飲小點和借問站服務，大片落地窗可遠望太平洋濱海美景及龜嶼佳景，號稱是離海邊最近的咖啡館，旅人們在戲水嬉遊後可以到此飽食賞景，休憩放鬆身心。 ,(03)9789799,,宜蘭縣,頭城鎮,濱海路二段6號,A15011300H,交通部觀光署東北角及宜蘭海岸國家風景區管理處,2025/5/11 下午 11:10:09,334000
Attraction_376600000A_000040,Attraction,Zh_tw,文化路夜市,&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;逗陣來去迺夜巿～&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;說到嘉義市最熱鬧且最富盛名的夜間市集就是文化路夜市！&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;從中央噴水池往南的文化路，白天是雙線車道，入夜後則成為行人專用道。&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;每當夜幕低垂，各個販賣的衣服、物品、小吃等攤販均紛紛出爐，轉眼之間嘉義市的文化路馬上變成熱鬧的夜市，兩旁商店林立，各種傳統小吃美食小吃人潮洶湧，熙往攘來彷若不夜城。&lt;/span&gt;&lt;/p&gt;&lt;p&gt;&lt;span style=&quot;font-size: 1.2em;&quot;&gt;文化路夜市美食小吃的名氣響亮，無論是南北口味，或是傳統與現代的餐飲，都能滿足您的食慾，慕名前來的老饕絕不會錯過。&lt;/span&gt;&lt;/p&gt;,(05)2294593,,嘉義市,東區,文化路,376600000A,嘉義市政府,2021/8/31 下午 04:49:40,333000
Attraction_376420000A_000314,Attraction,Zh_tw,宜蘭美術館,位處於舊城中心地帶的宜蘭美術館，是展現宜蘭美學與工藝的地方，希望藉由美術館這個窗口，讓外界看見宜蘭美術之美，並能夠與在地藝術和台灣、國際深度對話。宜蘭美術館的前身為台灣銀行的宜蘭分行，是日治時期台灣銀行最早蓋的7家之一，曾經這棟建築毀於戰爭，經歷了重建與改建，具有時代的建築特色與空間，正是宜蘭美術館的珍貴之處。在五岔路口旁的南門角，是以前舊城南門的所在位置，並放置了宜蘭藝術大師楊英風的作品，作為美術館的地標。走進館內，得以體驗到不同時空的重疊，感受歷史在美術館留下的痕跡，看看從前作為台銀的金庫，如今改成文件庫。而一、二樓的展覽室，會規劃不同主題來展示宜蘭的美術，光廊和天台等空間，提供遊客來欣賞宜蘭市區。除此之外，美術館的所在地，串連舊城南路上的文化資產，像是宜蘭設治紀念館、文學館、蘭城新月等，成為新的都市文化廊。,(03)9369116,,宜蘭縣,宜蘭市,中山路三段1號,376420000A,宜蘭縣政府工商旅遊處,2023/6/28 下午 12:10:55,332000
Attraction_379000000A_000199,Attraction,Zh_tw,北投文物館,北投文物館自1984年正式對外開放為私立博物館，這座身處群山之間佔地800坪的典雅庭園及純木造二層日式館舍，建於1921年。當時係北投地區最高級的「佳山溫泉旅館」，1983年創辦人張純明先生將古蹟活化再利用為博物館，成立「台灣民藝文物之家」，迄1987年正式更名為「北投文物館」。北投文物館始終致力於保存、展示臺灣早期的民間藝術與民俗文物，現有典藏文物近五千件，內容以清末、日治以降至1970年代期間的臺灣民俗工藝為主，其中包含臺灣原住民族文物一千餘件，以及以閩、客為主的漢民族文物共三千餘件。美食餐飲北投文物館另設有餐飲空間怡然居，提供精緻創意懷石料理及下午茶之外，也提供小型會議的場地租用。怡然居戶外的觀櫻台可以近觀丹鳳山，遠眺觀音山，戶外美景中享用文物館特製健康輕食─養身創意懷石料理，離開塵囂慢食慢活，別具風味。文化體驗目前文物館在多元文化經營的理念下，將大廣間用於表演藝術展演、藝文活動、以及提供宴會及會議場地出租場所，充分將大廣間進行古蹟活化的利用。本館設有不定期舉辨各式體驗課程，如：茶道體驗、茶道正式課、和菓子體驗、佳山抓周等等。*現由民間業者經營中。,(02)28912318,,臺北市,北投區,,379000000A,臺北市政府,2024/11/4 下午 05:35:02,330000
Attraction_376490000A_000120,Attraction,Zh_tw,湖口溼地,位於雲林縣口湖鄉湖口村路段上的這片溼地草原生態區，原是台糖的農場，在七十五年受韋恩颱風侵襲之後，因海水倒灌，使得原本種植甘蔗的大片農場無法繼續耕作。在廢耕多年之後，經由歲月的洗滌，大地在惡劣的環境下，形成了一大片野生植物的天堂，沒有人工的修飾及種植，結合地方政府規劃的溼地休閒園區中，卻也形成了另一種鄉野特色。,(05)7970856,,雲林縣,口湖鄉,雲林縣口湖鄉湖口村,376490000A,雲林縣政府,2023/7/13 下午 02:37:17,330000
Attraction_376570000A_268975,Attraction,Zh_tw,基隆文化中心,一樓 家庭教育服務中心、文物陳列室、基隆故事咖啡館M樓 辦公室、第三陳列室、第四陳列室二樓 局長室、副局長室、圖書館聯合櫃台、兒童室、視聽室、第一會議室、第二會議室三樓 藝廊、一般閱覽室、期刊室、開架閱覽室、參考室四樓 藝廊五樓 演藝廳（廳內樓下）六樓 演藝廳（廳內樓上）※本館設有無障礙設施※,(02)24224170,388.0,基隆市,中正區,信一路181號,376570000A,基隆市政府,2024/9/4 上午 12:00:00,329000
Attraction_376420000A_000313,Attraction,Zh_tw,台灣戲劇館,成立於1990年，是宜蘭縣第一個設立的博物館，也是台灣第一個公立地方博物館，旨在蒐集台灣戲劇發展資料，並對台灣民間傳統戲劇進行調查、採集、整理及推廣，宜蘭是台灣唯一本土劇種歌仔戲的原鄉，更增添本館之代表性。,(03)9322440,400.0,宜蘭縣,宜蘭市,復興路二段101號,376420000A,宜蘭縣政府工商旅遊處,2023/6/28 下午 12:10:55,329000
Attraction_376550000A_001286,Attraction,Zh_tw,石梯坪遊憩區,石梯坪位在石門附近，是一處潛水及磯釣的絕佳場所；長達一公里的奇岩怪石，兩層以上的海蝕平台，觸目皆是隆起的珊瑚礁。特殊的壺穴地質，岩石上則遍生各種海洋植物，林投樹、仙人掌、馬鞍藤等，景觀十分豐富。目前已規劃為風景特定區，提供遊客有大的停車場、海邊步徑、露營區等完善休憩設施。石梯坪位在花蓮縣豐濱鄉石梯灣的南側尾端，整個區域是一處面積極大的海岸階地，海蝕地形十分發達，海蝕平台、隆起珊瑚礁、海蝕溝、海蝕崖等舉目皆是，尤其是壺穴景觀堪稱臺灣第一。石梯坪海岸蘊藏著豐富的珊瑚礁群和熱帶魚群，潮間帶上與壺穴形成的潮池，生長著各式各樣的海藻、魚蝦、貝類等海洋生物，使石梯坪成為觀察潮間帶豐富生態和潛水的絕佳場所。遊客可沿著風景區的環狀步道實地觀察，或登上17公尺高的單面山，不僅可飽覽石梯坪的地質景觀，太平洋的壯闊浩瀚景象也能盡入眼底。想夜覽滿天的星空，臥擁壯闊太平洋，第一時間看日出，石梯坪營地絕對是最熱門的露營區。露營區設備完善，可選擇在此夜宿，漫步於月色中，或是聽濤觀星，享受與大自然合而為一的絕妙體驗。 ●大眾運輸花蓮客運(海線經台11線)-1127.1140.1145車次-石梯坪站下車。●自行開車地址:花蓮縣豐濱鄉石梯坪52號。,(03)8781452,,花蓮縣,豐濱鄉,石梯坪52號,376550000A,花蓮縣政府,2024/9/6 上午 12:00:00,328000
Attraction_376470000A_000543,Attraction,Zh_tw,彰化鳳凰花季,"每當鳳凰花開，驪歌響起時，也正是校園莘莘學子畢業離校的日子，盛開的鳳凰花，就像一片紅燄火海，因此被譽為世界上色彩最鮮豔的樹木之一，植株最高可達20公尺以上。由於鳳凰花多在5、6、7月盛開，正值台灣學校的畢業季，因此也被視為畢業季節的象徵。
　　在八卦山大佛旁的「八卦山天空步道」，是條蜿蜒的白色天橋，共有 7 個出入口，從空中穿越卦山路。在 5、6 月可看見鳳凰花盛開在旁，艷紅綻放的花瓣點綴在綠葉上，像是慶祝夏天來臨!
　　彰化縣溪州鄉綠筍路位於溪州、田中和二水的交界處，連接著大庄社區與成功社區，種植有綿延2公里的鳳凰木，每年鳳凰花的花季，繁花盛開，一整排的路樹，就像全數穿上喜慶的美麗紅花襯衣，樹上、地上一片鮮紅，璀璨奪目猶如綠色隧道，近年來經媒體的報導後，吸引不少遊客前來探訪此一鄉間秘境。鳳凰花盛開時如豔紅大傘，漫步在溪州鳳凰花隧道下，欣賞兩旁農田的翠綠稻浪，心情也跟著腳步一樣輕鬆，在初夏清風中享受鄉村寧靜緩慢之美!",(04)7532783,,彰化縣,彰化市,彰化縣彰化市溫泉路31號,376470000A,彰化縣政府城市暨觀光發展處,2023/6/27 下午 01:13:33,328000
Attraction_397000000A_000059,Attraction,Zh_tw,岡山文化中心,岡山文化中心是岡山區多元的休閒、藝文、展演等多功能的綜合性場地。佔地廣闊的舒心綠地上有多項大型裝置藝術，另有藝文廣場是戶外展覽及活動的最佳場所，極限運動場、林間小道則提供市民強身健骨。,(07)6262620,,高雄市,岡山區,岡山南路42號,397000000A,高雄市政府觀光局,2023/8/25 上午 01:12:44,328000
Attraction_376540000A_000386,Attraction,Zh_tw,五孔洞,五孔洞位於蘭嶼的北邊，在坦克岩和玉女岩(火把岩)之間。五孔洞是五個地盤快速上升受到強烈東北季風影響而形成的巨大海蝕洞，岩壁上珊瑚化石清晰可見，清楚見證海岸升起的痕跡和過程，是一座典型的海蝕洞，也是蘭嶼名勝之一。五個洞口緊鄰形成，每個洞口當地人均賦予不同的名稱，過去是達悟族人(雅美族人)所忌諱的地方。,(089)731669,,臺東縣,蘭嶼鄉,西北海域,376540000A,臺東縣政府交通及觀光發展處,2025/3/11 下午 05:18:25,327000
Attraction_387000000A_001458,Attraction,Zh_tw,臺中中央公園,台中市中央公園位於水湳經貿智慧城，由具有法國羅浮宮朗斯分館設計經驗的法籍景觀設計師Catherine Mosbach及Philippe Rahm Architects二位設計師負責全案規劃設計，劉培森建築師事務所負責施工監造。,(04)37062600,,臺中市,西屯區,中科路2966號,387000000A,臺中市政府觀光旅遊局,2025/5/9 下午 05:22:53,327000
Attraction_376540000A_001308,Attraction,Zh_tw,國立臺東生活美學館,國立臺東生活美學館，地點在台東縣政府對街，現址曾是日治時期的台東廳武德殿，1980年拆除後改建為現代建築，現已成為台東提倡美學教育，深耕藝術環境的藝文據點。漫步在光線明亮的場館裡，展間內展示在地藝術家的個人作品，或主題聯展。從繪畫到雕塑，從多媒體創作到複合媒材的作品，透過作品，從藝術家的角度，看見他們對藝術的熱情。有時，也有工藝師進駐展區，跟著一起動手做琉璃珠、藺草編織、藍染等等，讓藝術融入生活，用創造力點亮自己。入夜之後的國立臺東生活美學館，更有一番浪漫情調。「文化百老匯」空間，不定期舉辦夜間活動，有在地樂團、素人歌手等等，舉辦現場表演，隨興、動聽的音樂總吸引人群圍觀，在自由自在的氛圍下，度過輕鬆美妙的夜晚。,(089)322248,,臺東縣,臺東市,大同路254號,376540000A,臺東縣政府交通及觀光發展處,2024/12/2 下午 06:15:45,327000
Attraction_379000000A_002201,Attraction,Zh_tw,臺北流行音樂中心,臺北流行音樂中心介於南港車站與捷運藍線昆陽站之間，採複合型園區設置，基地面積8.96公頃，以市民大道區隔為北基地及南基地。可容納5000人、專屬流行音樂演出的中大型表演場地「表演廳」座落於北基地，南基地則有以主題策展方式呈現臺灣流行音樂光榮歷史與各種面貌的「流行音樂文化館」、以培育臺灣音樂人才為目標的「產業區」等場館。集結流行音樂與流行文化，臺北流行音樂中心不僅是流行音樂表演場所，更是以流行音樂產業出發、描述流行文化與生活型態的機能型園區。臺北流行音樂中心建築由美國RUR Architecture設計，建築靈感來自古羅馬廣場，利用環形空間結合藝術、商業、市集和演出活動，希望藉由流行音樂產業工作者、市民及海外觀光客之廣泛利用，打造一座24小時具備不同使用方式的「機能建築」。南北基地由造型天橋串聯，三棟主建築位於同一水平線，除加強整體建築的統一性，也以視覺軸線引領參觀者至不同目的地。臺北流行音樂中心未來將朝成為亞洲華語流行音樂新地標的願景邁進，除匯集創作人才外，並期望提供流行音樂及周邊產業群聚、展現優質的臺灣流行音樂文化，創造聚合流行音樂及文化產業跨界能量。(資料來源：臺北流行音樂中心官網),(02)27886620,,臺北市,南港區,,379000000A,臺北市政府,2024/3/28 上午 10:23:48,327000
Attraction_376530000A_000016,Attraction,Zh_tw,海豐濕地,位於海豐地區崇蘭舊圳附近，原為台糖土地，後來縣府規劃了初級沉澱池、自然淨化渠道及6公頃的生態池，作為淨化崇蘭舊圳水質之用，為萬年溪挹注活水。 海豐濕地生態種類豐富，多種水鳥、昆蟲在此共生共榮，除了栽種淨化水質的水生植物，還有柳樹圍繞在生態池周邊，明媚、開闊的自然風光，有如無汙染的淨地，閉目深呼吸，舒暢感直上心頭，無疑是一處生態天堂。,(08)7351911,,屏東縣,屏東市,萬年濕地群之海豐濕地,376530000A,屏東縣政府,2024/10/15 上午 06:37:38,326000
Attraction_376490000A_000740,Attraction,Zh_tw,圖南咖啡故事館,咖啡在人類的歷史中興盛已久，大約於十一世紀時已有以水沖泡咖啡飲用的記載，至於起源傳說諸多，但皆已不可考證。咖啡除了具備高經濟價值之外，從品種、產地、種植、採收到加工，乃至沖泡、品嚐等等，處處皆是學問。世界知名的咖啡產地眾多、各具風味，臺灣更是其中之一。古坑是臺灣咖啡重鎮乃眾所皆知，但卻鮮少人知道臺灣的咖啡曾經揚名海外。日治時期，日本人最初將北回歸線經過的雲林、嘉義、臺南等區域判斷為最適合種植咖啡的區域，並從巴西引進咖啡種子於嘉義、恆春設立農事機構積極培育，選定瑞穗、臺東、高雄、古坑、南投等區域開始試種，結果發現古坑出產的咖啡品質最優良。日本企業「圖南產業株式會社」開始在雲林的荷苞山、華山、十字關一帶遍植阿拉比卡咖啡，全盛時期可達三百多公頃之廣。由於古坑生產的咖啡質地優良，也成為臺灣總督府獻給日本天皇的貢品，時被稱為御用咖啡。,(05)5379880,,雲林縣,斗六市,雲林縣斗六市雲林路二段16巷12號,376490000A,雲林縣政府,2024/7/19 上午 10:48:49,326000
Attraction_395000000A_000649,Attraction,Zh_tw,綠谷西拉雅,新化原為平埔族人聚居地，雖然原有的平埔生活文化已不復見，但早期平埔族生活的文化景緻，卻在綠谷西拉雅重新呈現風情。強調自然傳統的園區內，除可體驗純樸的農村生態，也可讓您對保護自然更進一步認識與支持。,(06)5801217,,臺南市,新化區,大坑里大坑尾240-16號,395000000A,臺南市政府,2024/1/9 下午 04:06:59,325000
Attraction_376540000A_000308,Attraction,Zh_tw,海濱公園,海濱公園融合地景與公共藝術，標誌臺東獨特的人文、歷史與自然景觀。,(089)357095,,臺東縣,臺東市,大同路,376540000A,臺東縣政府交通及觀光發展處,2025/2/13 上午 09:42:45,325000
Attraction_395000000A_000745,Attraction,Zh_tw,金華府,位在百年老街神農街上的金華府建於西元1830年，相傳由當時五條港五大姓氏族群中的許姓人士所建，也是許家的守護廟，廟內主祀關聖帝君及馬、李兩位王爺，以府為名的廟宇稱號也非常少見。因為神農街為當時五條港區街道，較為狹窄，因此金華府也受限於街屋型態的限制，腹地並不大，後來雖經幾次修建，但幾乎與原貌沒有差異，每到晚上關起廟門，神農街上昏黃的街燈亮起，紅色的金華府燈籠與黃色街燈相互輝映，呈現濃濃的古典風情，廟門上取代門神的門釘在燈光照射下在紅色廟門呈現美麗的光影，讓人沉醉於古色古香之中。,(06)2224836,,臺南市,中西區,神農街71號,395000000A,臺南市政府,2024/1/9 下午 04:06:59,321000
Attraction_A15011300H_010085,Attraction,Zh_tw,蘇澳港,蘇澳港位於蘭陽隧道出口處，舊稱東港，三面環山又東臨太平洋，且因南方澳與北方澳左右環拱，是一處形勢險要的天然優良港灣。自古以來即是帶動蘭陽繁榮的商港之一，日後更轉建為國際貿易商港，成為重要的進出口據點，也是移山填海而成的十年建設奇蹟。來到蘇澳港前，你得先知道這裡有個傳說中的風景－「蘇澳蜃市」，「蘭陽八景」之一，由於港面寬闊，當春夏間海面風平浪靜之時，船舶市廛倒影入海，反映空中，幻為樓閣，宛如神仙境界，而夕陽西下時從高處俯瞰整個港區，夜色低垂反映漁火點點，也是另一蘇澳著名美景。若想飽覽這等美麗港澳景色，則有幾個絕佳據點：從蘇花公路或砲台山上俯視，便可見到蘇澳港南北兩側的長岬，似螃蟹的兩隻大螫；還有港口旁的七星嶺，沿步道而上至高處，向南可俯視港灣壯麗，向北則可遠眺海中龜，近窺蘭陽平原秀麗風光，視野遼闊，景色宜人。除了賞景，堤防附近的海域也常見大魚出沒，吸引許多釣客前來一展身手，但請務必視自身狀況，以及當天氣候風浪，注意垂釣安全！,(03)9965121,,宜蘭縣,蘇澳鎮,港區1號,A15011300H,交通部觀光署東北角及宜蘭海岸國家風景區管理處,2025/5/11 下午 11:10:09,321000
Attraction_382000000A_110883,Attraction,Zh_tw,汐止老街,今日中正路舊稱「水返腳街」，曾是基隆河沿岸貨物轉運站，也是汐止開發的源頭，素有「汐止第一街」之稱。過往的輝煌留下許多歷史遺跡，如牛稠頭碼頭、公有市場、農倉、教會、隘門遺址等，亦不乏三代經營的老店，包括米店、布商、藥行、香鋪等。沿街建築部分仍保有長條街屋的傳統風格，是汐止寶貴的文化資產。,(02)26411111,,新北市,汐止區,中正路,382000000A,新北市政府觀光旅遊局,2021/4/20 上午 10:21:50,319000
Attraction_379000000A_002656,Attraction,Zh_tw,大屯瀑布,陽明山大屯瀑布係位於陽明山公園附近，鮮少人探訪的一處秘境，由多個瀑布組成，沿途步道會經過長滿青苔的長廊，步道的盡頭是可以一望台北盆地無盡景色的景觀台。,(02)27593001,,臺北市,北投區,,379000000A,臺北市政府,2024/8/20 下午 02:16:29,318000
Attraction_379000000A_003668,Attraction,Zh_tw,台北大橋,1889年8月，由首任台灣巡撫劉銘傳興建完工，連結了三重埔（今三重區）與台北大稻埕埠頭。1895年稱該橋為淡水橋，在當時是大龍峒和大稻埕一帶的重要轉口港。1947年2月27日發生天馬茶房緝私煙事件，隔日2月28日發起遊行抗議，就是在目前台北大橋橋頭集結出發。,(02)29603456,,臺北市,大同區,,379000000A,臺北市政府,2024/3/14 下午 05:20:23,318000
Attraction_379000000A_001430,Attraction,Zh_tw,臺北松山機場觀景台,※觀景台自112年10月起整修工程期8~10個月，完工日期將視天候及施工進度調整。臺北國際機場觀景臺於2010年11月重新開放，位於第一及第二航廈間3樓，占地約545坪。觀景臺植栽美化，採用適應臺灣氣候的鐵木，具低輻射熱的好處，此外為符合國際機場的形象，特別選用世界級西班牙設計大師Alexander Lotersztain所設計，取名&quot;Twig&quot;(意為嫩枝)，會發光的戶外座椅，提供民眾晝夜不同的景觀體驗。在入口廣場西側還規劃有戶外輕食區，供民眾休憩飲食。觀景臺為免費開放，可成為民眾休閒新選擇。,(02)87703460,,臺北市,松山區,,379000000A,臺北市政府,2024/5/30 下午 03:46:37,317000
Attraction_379000000A_000145,Attraction,Zh_tw,北投溫泉博物館 ,這座早在日本時代就享有盛名的溫泉公共浴場，有著英國都鐸時期的鄉村建築風格，沉穩的紅色磚牆與黑色的瓦與綠蔭相稱，是個讓人放鬆休憩的好地方。1樓的羅馬拱柱環繞浴池，陽光穿過彩色玻璃，投影出異國情調。2樓的和室格局、日式地板，搭配著空氣中淡淡的溫泉味，昔日的氤氳時光，彷彿就在眼前重現。在當地人士的努力奔走下，這棟古蹟被保留下來，變身為今日的北投溫泉博物館，成為認識北投的最佳入門。一樓展覽空間分為四個展區，有「大浴池、北投石」、「北投浴場SENTO」、「片語拾光」、「博覽廳EXPO」，二樓展覽空間分為六個展區，有「北投印象」、「多媒體視聽室」、「望樓」、「台語片的好萊塢」、「溫泉DOZO」、「榻榻米活動大廳」。望樓是北投溫泉博物館最受喜愛的參觀區域之一，從望樓向外眺望，可以看見綠蔭盎然的北投公園及北投圖書館，供沐浴後的遊客休憩、欣賞北投山光水色之處。而在榻榻米活動大廳可以眺望整個北投谷地以及公園美景，開放的室內空間通風良好，空氣中飄著微微的硫磺味，使人深刻記住北投溫泉的美好。北投溫泉博物館不但是歷史的珍貴記憶，更深刻凝聚著北投居民對這片土地的感情。,(02)28939981,,臺北市,北投區,,379000000A,臺北市政府,2024/11/4 下午 05:34:11,317000
Attraction_379000000A_003164,Attraction,Zh_tw,志成公園,位於士林中正路，曾有陳前總統墨寶長相思，志成公園巧妙地設置了中國庭園式隔牆，層層相映，極為賞目！公園內到處綠蔭欣欣向榮，且園內有小巧水池、環牆小曲流，是台北新興公園中不錯的休憩處！下次經過中正路時，不妨到此歇歇腳，體會一下鬧中取靜的悠哉吧！遊罷志成公園，可順至對面福林公園，再到福林公園對面的士林官邸，經過綠色奇蹟的洗禮，保證令你神清氣爽！,(02)28812512,,臺北市,士林區,,379000000A,臺北市政府,2024/3/31 下午 03:40:41,315000
